COD_DANE_MUNICIPIO,TOTAL_MATRICULA,DEPARTAMENTO,MUNICIPIO
15362,392,BOYACÁ,IZA
47288,21374,MAGDALENA,FUNDACIÓN
70265,4457,SUCRE,GUARANDA
17662,4012,CALDAS,SAMANÁ
54125,643,NORTE DE SANTANDER,CÁCOTA
66572,5348,RISARALDA,PUEBLO RICO
68432,5032,SANTANDER,MÁLAGA
54206,5547,NORTE DE SANTANDER,CONVENCIÓN
73686,1316,TOLIMA,SANTA ISABEL
68344,463,SANTANDER,HATO
18205,2178,CAQUETÁ,CURILLO
5837,42938,ANTIOQUIA,TURBO
68575,8657,SANTANDER,PUERTO WILCHES
5792,981,ANTIOQUIA,TARSO
13600,2442,BOLÍVAR,RÍO VIEJO
5495,7202,ANTIOQUIA,NECHÍ
95015,1926,GUAVIARE,CALAMAR
44420,737,GUAJIRA,LA JAGUA DEL PILAR
68872,1315,SANTANDER,VILLANUEVA
15764,1873,BOYACÁ,SORACÁ
15537,812,BOYACÁ,PAZ DE RÍO
73026,1517,TOLIMA,ALVARADO
50450,2232,META,PUERTO CONCORDIA
27430,3717,CHOCÓ,MEDIO BAUDÓ
5240,1831,ANTIOQUIA,EBÉJICO
15837,2221,BOYACÁ,TUTA
20013,19145,CESAR,AGUSTÍN CODAZZI
25488,2098,CUNDINAMARCA,NILO
5313,1941,ANTIOQUIA,GRANADA
91405,799,AMAZONAS,LA CHORRERA
66088,4894,RISARALDA,BELÉN DE UMBRÍA
20614,3483,CESAR,RÍO DE ORO
41791,4130,HUILA,TARQUI
15367,1331,BOYACÁ,JENESANO
5480,5545,ANTIOQUIA,MUTATÁ
27361,10436,CHOCÓ,ITSMINA
76400,6057,VALLE DEL CAUCA,LA UNIÓN
52838,8100,NARIÑO,TÚQUERRES
5237,4074,ANTIOQUIA,DON MATÍAS
76892,23930,VALLE DEL CAUCA,YUMBO
25290,27560,CUNDINAMARCA,FUSAGASUGÁ
15762,600,BOYACÁ,SORA
63190,4407,QUINDIO,CIRCASIA
25279,2181,CUNDINAMARCA,FÓMEQUE
15757,2271,BOYACÁ,SOCHA
44855,2337,GUAJIRA,URUMITA
5001,441926,ANTIOQUIA,MEDELLÍN
5206,508,ANTIOQUIA,CONCEPCIÓN
19100,9005,CAUCA,BOLÍVAR
54518,10530,NORTE DE SANTANDER,PAMPLONA
15500,445,BOYACÁ,OICATÁ
17513,2308,CALDAS,PÁCORA
15511,357,BOYACÁ,PACHAVITA
68684,705,SANTANDER,SAN JOSE DE MIRANDA
15218,525,BOYACÁ,COVARACHIA
20621,8143,CESAR,LA PAZ(ROBLES)
20295,2568,CESAR,GAMARRA
5002,3700,ANTIOQUIA,ABEJORRAL
5079,8542,ANTIOQUIA,BARBOSA
25328,780,CUNDINAMARCA,GUAYABAL DE SIQUIMA
85001,41579,CASANARE,YOPAL
5501,487,ANTIOQUIA,OLAYA
68655,8413,SANTANDER,SABANA DE TORRES
47268,7645,MAGDALENA,EL RETÉN
13688,9762,BOLÍVAR,SANTA ROSA DEL SUR
50400,2491,META,LEJANÍAS
52490,7289,NARIÑO,OLAYA HERRERA
19821,7281,CAUCA,TORIBÍO
25740,7324,CUNDINAMARCA,SIBATÉ
25335,1221,CUNDINAMARCA,GUAYABETAL
19809,8231,CAUCA,TIMBIQUÍ
50711,4336,META,VISTA HERMOSA
15204,3095,BOYACÁ,CÓMBITA
15740,1749,BOYACÁ,SIACHOQUE
15816,975,BOYACÁ,TOGÜÍ
73055,2441,TOLIMA,ARMERO(GUAYABAL)
15368,788,BOYACÁ,JERICÓ
63272,2193,QUINDIO,FILANDIA
73770,578,TOLIMA,SUÁREZ
94887,237,GUAINÍA,PANA PANA
15162,624,BOYACÁ,CERINZA
54670,3169,NORTE DE SANTANDER,SAN CALIXTO
25386,5912,CUNDINAMARCA,LA MESA
13683,4476,BOLÍVAR,SANTA ROSA
68368,594,SANTANDER,JESÚS MARÍA
76606,3271,VALLE DEL CAUCA,RESTREPO
44430,52101,GUAJIRA,MAICAO
76233,7803,VALLE DEL CAUCA,DAGUA
85125,3471,CASANARE,HATO COROZAL
25178,1785,CUNDINAMARCA,CHIPAQUE
47205,2944,MAGDALENA,CONCORDIA
19397,3199,CAUCA,LA VEGA
44035,8597,GUAJIRA,ALBANIA
54109,1202,NORTE DE SANTANDER,BUCARASICA
25875,5919,CUNDINAMARCA,VILLETA
41013,2077,HUILA,AGRADO
73270,1822,TOLIMA,FALAN
63302,1411,QUINDIO,GÉNOVA
73283,6271,TOLIMA,FRESNO
73319,5990,TOLIMA,GUAMO
5659,6882,ANTIOQUIA,SAN JUAN DE URABÁ
25572,3858,CUNDINAMARCA,PUERTO SALGAR
5658,670,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA
41530,2598,HUILA,PALESTINA
68385,2435,SANTANDER,LANDÁZURI
76890,2814,VALLE DEL CAUCA,YOTOCO
66318,2416,RISARALDA,GUÁTICA
23168,2901,CÓRDOBA,CHIMÁ
73411,8075,TOLIMA,LÍBANO
47161,2196,MAGDALENA,CERRO DE SAN ANTONIO
73352,2599,TOLIMA,ICONONZO
8560,5427,ATLÁNTICO,PONEDERA
94001,8472,GUAINÍA,INÍRIDA
52227,6443,NARIÑO,CUMBAL
25326,1190,CUNDINAMARCA,GUATAVITA
8638,22008,ATLÁNTICO,SABANALARGA
41885,1390,HUILA,YAGUARÁ
19533,1939,CAUCA,PIAMONTE
17653,2937,CALDAS,SALAMINA
54398,1823,NORTE DE SANTANDER,LA PLAYA
41026,710,HUILA,ALTAMIRA
25596,1327,CUNDINAMARCA,QUIPILE
15667,1046,BOYACÁ,SAN LUIS DE GACENO
20750,4888,CESAR,SAN DIEGO
63111,535,QUINDIO,BUENAVISTA
5125,1812,ANTIOQUIA,CAICEDO
27245,2790,CHOCÓ,EL CARMEN DE ATRATO
91669,463,AMAZONAS,PUERTO SANTANDER
25535,2474,CUNDINAMARCA,PASCA
41319,4326,HUILA,GUADALUPE
5819,1413,ANTIOQUIA,TOLEDO
25317,3157,CUNDINAMARCA,GUACHETÁ
95200,1008,GUAVIARE,MIRAFLORES
25099,2154,CUNDINAMARCA,BOJACÁ
47245,21466,MAGDALENA,EL BANCO
5361,5106,ANTIOQUIA,ITUANGO
8849,1619,ATLÁNTICO,USIACURÍ
15518,480,BOYACÁ,PAJARITO
15293,629,BOYACÁ,GACHANTIVÁ
41359,5996,HUILA,ISNOS
54498,25561,NORTE DE SANTANDER,OCAÑA
23466,22358,CÓRDOBA,MONTELÍBANO
47720,3488,MAGDALENA,SANTA BÁRBARA DE PINIO
25394,1727,CUNDINAMARCA,LA PALMA
54874,19864,NORTE DE SANTANDER,VILLA DEL ROSARIO
52473,1874,NARIÑO,MOSQUERA
70418,5352,SUCRE,LOS PALMITOS
52390,2050,NARIÑO,LA TOLA
